time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_stability_function,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_numerical_u_correction,surface_layer_face1_numerical_v_correction,surface_layer_face1_reconstructed_u_flux,surface_layer_face1_reconstructed_v_flux,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_scalar_stability_function,surface_layer_face1_scheme_u_flux,surface_layer_face1_scheme_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_numerical_correction,surface_layer_face1_ρqᵛ_reconstructed_flux,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρqᵛ_scheme_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_numerical_correction,surface_layer_face1_ρθ_reconstructed_flux,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_scheme_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_numerical_u_correction,surface_layer_face2_numerical_v_correction,surface_layer_face2_reconstructed_u_flux,surface_layer_face2_reconstructed_v_flux,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_scheme_u_flux,surface_layer_face2_scheme_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_numerical_correction,surface_layer_face2_ρqᵛ_reconstructed_flux,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρqᵛ_scheme_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_numerical_correction,surface_layer_face2_ρθ_reconstructed_flux,surface_layer_face2_ρθ_resolved_flux,surface_layer_face2_ρθ_scheme_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_layer_inverse_obukhov_length,surface_layer_neutral_column_fraction,surface_layer_stable_column_fraction,surface_layer_upward_flux_column_fraction,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.5,1,0.771470606327,6.25,8,0,1,173309.359375,1,5.04870979341e-27,8,11.875,0.00018174079014,8.6545405793e-06,-6.62332604406e-06,1.32231128216,-0.786995887756,-0.595166862011,0,0,8,2.21822404001e-07,2.21822404001e-07,0,0,0,2.77278005001e-08,0,1,0,1,0,-2.84217094304e-14,0,-2.84217094304e-14,0,0,0,1,2.21822375579e-07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,265.000671387,7.34788545742e-06,7.34788545742e-06,2.33086770371e-13,2.33086770371e-13,0,7.34788545742e-06,0,8,6.75488195157e-07,6.75488195157e-07,0,0,0,8.44360243946e-08,0,1,0,0,0,0,0,0,6.75488195157e-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,264.999694824,2.23755232582e-05,2.23755232582e-05,-2.4785187791e-11,-2.4785187791e-11,0,2.23754977924e-05,0,0,0,0,0,0,1,0,0,0.4462890625,-0.236421793699,0,0.000751758285332,0.000208184705116,265,-0.00023524556309,-0.000177904832526,267.9375,264.950073242,8,0,1.32497052618e-06,3.23117426779e-27
60,24.7516223334,1,0.712774038315,281.25,8,3.26210169987e-10,1,120923.125,1,0.00881681125611,8.00924873352,23.5140412167,0.000246068142587,3.08530870825e-05,-7.48662841943e-06,1.32231128216,-0.67179608345,-0.508046865463,-0.000152943568537,-0.000115663817269,7.8685092926,-7.32106855139e-08,-8.02549766377e-06,0.000375979783712,9.09870756516e-09,8.66189253657e-09,2.20916263061e-08,1,0.999917924404,0,1.00392198563,0,-3.14161496817e-07,-1.39426248325e-08,-8.26635186968e-06,-1.43794238738e-08,-7.95219511929e-06,-4.36799041381e-10,1.00637340546,-8.3396807895e-06,-5.28072519046e-09,1.39952760492e-08,1.58768057823,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0175716877,0.009765625,1.61165428162,0.009765625,265.000610352,8.35838727653e-06,1.6815494746e-05,2.80417945808e-11,8.45765498525e-06,8.45762588142e-06,1.6814796254e-05,0.009765625,7.98389625549,1.62384822033e-07,-5.36485458724e-06,6.59957295284e-05,1.59344235584e-08,1.30091308392e-07,3.99013515562e-08,0,0.999991893768,-7.42586998967e-05,2.97512968928e-07,-7.97859829618e-05,4.11669873301e-07,-5.52727578906e-06,1.14156875952e-07,-7.9623554484e-05,4.27604248898e-07,-4.23309565178e-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999987959862,0,264.999725342,1.32187269628e-05,2.53561884165e-05,-1.00164584182e-07,1.20335835163e-05,1.21337488963e-05,2.52504833043e-05,0.318799436092,0,-3.39436228387e-05,-0.101633064449,-6.29316491541e-06,1.56450860231e-05,0,0.5615234375,0.4384765625,0.33984375,-0.267237633467,0,0.00101799250115,0.000204334312002,264.995833333,-0.000265908078291,-0.000201093411306,267.937438965,264.958404541,8.00918960571,0.0261918585747,0.0475744381547,0.000267262250418
120,25.3178044759,1,0.617891192436,56.25,7.99999856949,2.60595379586e-06,1,62160.828125,1,0.067108720541,8.01772689819,24.0519142521,0.000233293627389,7.18220471754e-05,-9.48766319198e-06,1.32231128216,-0.504844129086,-0.381789177656,-0.000684529659338,-0.00051767664263,7.54186868668,-6.11992436461e-06,-6.54692703392e-05,0.00266078417189,6.88498573709e-08,1.64792152191e-06,1.88992999028e-08,1,0.999621629715,0,1.00272619724,0,-1.04907223886e-06,5.14398209361e-07,-6.03985463385e-05,2.09346990232e-06,-5.93494805798e-05,1.57907163612e-06,1.00443005562,-6.65184634272e-05,2.16231978811e-06,-2.11055066757e-06,2.01321792603,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.06817734241,0.005859375,2.14799404144,0.005859375,265.000366211,9.70810651779e-06,2.18208879232e-05,1.40413208838e-10,1.21083503473e-05,1.21082102851e-05,2.18199566007e-05,0.005859375,7.88562965393,-5.88211696595e-06,-8.14978266135e-05,0.000896572310012,1.4544011151e-07,3.69752638107e-06,-7.66885932535e-09,0,0.999873518944,-0.00070013559889,9.38858465815e-06,-0.000775751424953,1.29406707856e-05,-7.56158478907e-05,3.55208612746e-06,-0.00078163377475,1.30861099024e-05,-2.15719342123e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999978542328,0,264.999725342,5.06639480591e-06,2.77068465948e-05,-1.12408588393e-06,2.1498210117e-05,2.26222982747e-05,2.65780836344e-05,0.403886824846,0,-6.88398431521e-05,-0.163124591112,-6.09389971942e-05,1.55975358211e-05,0,0.578125,0.421875,0.1171875,-0.338665246964,0,0.000965098734014,0.000313641445246,264.991666666,-0.000336980330758,-0.000254841899732,267.936950684,264.968658447,8.0177192688,0.0698439478874,0.0820942372084,0.000635363161564
180,25.4095572132,1,0.535623848438,343.75,7.99999380112,5.4906239555e-09,1,31422.7324219,1,0.219791263342,8.03140926361,24.1390793525,0.000285134185106,0.000131823442644,-1.22257579278e-05,1.32231128216,-0.379359126091,-0.286890953779,-0.00140342931263,-0.00106134568341,7.11101818085,-3.30448965542e-05,-0.000172376749106,0.00787762086838,1.50226924234e-07,2.70067243946e-06,1.64000084624e-08,1,0.999230027199,0,1.00236773491,0,-1.60121805948e-06,1.04272294266e-06,-0.00014093297068,3.59316845788e-06,-0.000139331707032,2.55044506048e-06,1.00384747982,-0.00017397798365,3.74339629161e-06,-3.69900521946e-06,2.1915473938,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.04256892204,0.0107421875,2.28345251083,0.0107421875,265.000061035,1.10454857349e-05,2.29440629482e-05,6.27725996183e-11,1.18938814921e-05,1.1893818737e-05,2.29440629482e-05,0.0107421875,7.70298242569,-4.10256907344e-05,-0.000264190486632,0.0033738873899,4.40548092229e-07,5.61492470297e-06,-4.87780198455e-08,0,0.999483525753,-0.00245093647391,4.13983289036e-05,-0.0026741004549,4.65727061965e-05,-0.000223164155614,5.17437729286e-06,-0.00271512684412,4.7013258154e-05,-9.51141555561e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999981760979,0,264.999572754,-1.05798244476e-06,1.90809369087e-05,-1.86329032204e-06,1.82651856449e-05,2.01284783543e-05,1.72182917595e-05,0.439671218395,0,-0.000109348358819,-0.193311035633,-0.000194332576939,1.92184215848e-05,0,0.6015625,0.3984375,0.005859375,-0.436402410269,0,0.00117969827261,0.000545345246792,264.9875,-0.00043423124589,-0.0003283880651,267.93649292,264.972259521,8.03132629395,0.114731311798,0.0889837816358,0.00108112464659
240,25.5039336202,1,0.469950914383,168.75,7.99999189377,2.06200851949e-08,1,17293.6132812,1,0.491492241621,8.04404258728,24.2287369392,0.000365437357686,0.000210072699701,-1.50041632878e-05,1.32231128216,-0.292029231787,-0.220847561955,-0.00220238021575,-0.00166555354372,6.64028739929,-8.88275098987e-05,-0.000311331881676,0.0163591150194,2.28615249398e-07,4.99763928019e-06,1.36569724418e-08,1,0.998783230782,0,1.00233340263,0,-2.6487514333e-06,1.35178879646e-06,-0.000225153256906,6.12081157669e-06,-0.000222504473641,4.76902368973e-06,1.00379180908,-0.000313980563078,6.34942716715e-06,-6.46112948743e-06,2.24857783318,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.09367263317,0.0126953125,2.45971012115,0.0126953125,264.999633789,1.13919377327e-05,2.16905027628e-05,3.92327698107e-11,1.02919238998e-05,1.0291883882e-05,2.16905027628e-05,0.0126953125,7.47158336639,-0.000139230163768,-0.000536506879143,0.00782301463187,9.32873831516e-07,8.99863880477e-06,-8.03411239758e-08,0,0.998768210411,-0.00566078862175,0.000108792082756,-0.00605806522071,0.000116857838293,-0.000397276628064,8.0657637227e-06,-0.00619729468599,0.000117790717923,-2.6236381018e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999984741211,0,264.999359131,-6.07222318649e-06,1.05947256088e-05,-1.37584675031e-06,1.52734974108e-05,1.66493446159e-05,9.1940164566e-06,0.451282650232,0,-0.000156205103849,-0.203657358885,-0.00040944898501,2.54093411058e-05,0,0.64453125,0.35546875,0,-0.535578548908,0,0.00151213619392,0.000869035371579,264.983333333,-0.000532913953066,-0.000403017009376,267.936035156,264.976654053,8.04384803772,0.190026000142,0.121740803123,0.0014791698195
300,25.915470695,1,0.41784620285,168.75,7.99998998642,2.68475215393e-08,1,10428.1376953,1,1.09990155697,8.06203746796,24.6196971602,0.000457825197373,0.000303641601931,-1.74897104444e-05,1.32231128216,-0.230849742889,-0.174580484629,-0.00302262045443,-0.0022858614102,6.17142486572,-0.000166931538843,-0.000574752106331,0.0279239155352,1.84147438631e-07,1.35139380291e-05,1.210719347e-08,1,0.997736096382,0,1.00252687931,0,-7.63793104852e-06,1.2973845287e-06,-0.000415458518546,1.46271777339e-05,-0.000407820625696,1.33297926368e-05,1.00410616398,-0.000582390115596,1.48113213072e-05,-1.58058956004e-05,2.23758554459,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.10387015343,0.013671875,2.47171187401,0.013671875,264.999084473,1.09076499939e-05,2.02693045139e-05,5.21325344005e-11,9.33007868298e-06,9.33002593229e-06,2.02730298042e-05,0.013671875,7.21927547455,-0.000300855142996,-0.00107144471258,0.0142804300413,1.31492470246e-06,1.82046969712e-05,-1.07276719064e-07,0,0.997550487518,-0.0113622676581,0.000253575271927,-0.0121328579262,0.000270465068752,-0.000770589802414,1.68897749973e-05,-0.012433713302,0.000271779979812,-6.30635186099e-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999986052513,0,264.99899292,-1.20103359222e-05,3.06963920593e-06,-1.05561798591e-06,1.39600724651e-05,1.50156902237e-05,1.99675559998e-06,0.449612408876,0,-0.000207385965041,-0.202155202627,-0.000697506242432,3.41226768796e-05,0,0.7119140625,0.2880859375,0,-0.624300897121,0,0.00189474993385,0.00125632400159,264.979166666,-0.000621194951236,-0.00046977965394,267.935546875,264.978881836,8.06145000458,0.356778919697,0.188373059034,0.00297361169942
360,36.9208057564,1,0.379582196474,168.75,7.99998760223,3.70510520042e-08,1,6950.37207031,1,2.515594244,8.14605140686,35.0747654686,0.000625853776,0.00039415404899,-1.96720448002e-05,1.32231128216,-0.190484404564,-0.14405412972,-0.00378973316401,-0.00286599178798,5.73883676529,-0.000237046566326,-0.00146168353967,0.0417635701597,-9.63396814768e-07,1.72356303665e-05,8.52742232382e-09,1,0.993227422237,0,1.00294804573,0,-3.4751054045e-05,1.05416802398e-06,-0.00125938875135,1.92531952052e-05,-0.00122463773005,1.81990253623e-05,1.00479054451,-0.00149643560871,1.82897965715e-05,-2.56937637459e-05,2.18165206909,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.12771999836,0.0126953125,2.47420167923,0.0126953125,264.998474121,9.22009348869e-06,1.68718397617e-05,-3.36126682043e-10,7.63137541071e-06,7.63171010476e-06,1.68643891811e-05,0.0126953125,6.96006965637,-0.000394062255509,-0.00254743057303,0.0227372013032,1.53612199938e-06,0.000109448214062,-1.27591192722e-07,0,0.994870126247,-0.0242761168629,0.000620558857918,-0.0264294873923,0.0007284709136,-0.00215336983092,0.00010791207751,-0.0268235467374,0.000730007071979,-0.000168957543792,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999991416931,0,264.998535156,-1.91628932953e-05,-7.15255737305e-06,-3.43063106811e-06,8.59703050082e-06,1.20276617963e-05,-1.05425715446e-05,0.440531015396,0,-0.00026051880559,-0.194075614214,-0.0010431825649,4.5561355364e-05,0,0.796875,0.203125,0,-0.702200055122,0,0.00259092822671,0.00163109553978,264.974999999,-0.000698706542607,-0.000528397911694,267.935058594,264.981658936,8.14589595795,0.630084872246,0.352832376957,0.0125331161544
420,51.7244720682,1,0.355380743742,168.75,7.9999833107,1.4171230589e-07,1,5085.93457031,1,6.89938116074,8.33219814301,49.1382484648,0.000806335243396,0.000454286113381,-2.20623078349e-05,1.32231128216,-0.166939795017,-0.126248478889,-0.00455592293292,-0.00344542390667,5.37662696838,-0.000212102371734,-0.00379547290504,0.0568243227899,-3.3925898606e-06,-0.000175022927579,5.9517333284e-09,1,0.979625821114,0,1.00364375114,0,-0.000111638873932,4.29945430369e-06,-0.00369500997476,-0.000167330828845,-0.00358337117359,-0.000171630308614,1.00592112541,-0.00390711193904,-0.000170723447809,0.000138930787216,2.08863925934,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.12134253979,0.0166015625,2.38650178909,0.0166015625,264.997680664,6.15417957306e-06,8.67247581482e-06,6.49417575271e-10,2.49480785897e-06,2.49415825238e-06,8.65384936333e-06,0.0166015625,6.69832134247,-0.00026669993531,-0.00809718947858,0.0330506786704,-2.24272025662e-06,-6.65920524625e-05,-1.43350916915e-07,0,0.990698099136,-0.0429080091417,0.00133120361716,-0.0507384985685,0.00126685423311,-0.00783048942685,-6.43493112875e-05,-0.0510051995516,0.00126461149193,-0.00030494784005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00000786781,0,264.998077393,-3.03126871586e-05,-2.72653996944e-05,-1.08839521999e-05,-7.77097829996e-06,3.11297299049e-06,-3.80910933018e-05,0.427922338247,0,-0.00031496756128,-0.183129683137,-0.0014310288243,6.00722232775e-05,0,0.91796875,0.08203125,0,-0.787521243095,0,0.00333918025717,0.0018801651895,264.970833333,-0.000783603230957,-0.000592601194512,267.934631348,264.986053467,8.33197402954,1.04635000229,0.69011425972,0.0572896972299
480,66.4184185827,1,0.347142904997,343.75,7.99997615814,8.37754541294e-08,1,4149.05664062,1,16.9072685242,8.48837852478,63.0974976536,0.000826597795822,0.000467712467071,-2.52066729445e-05,1.32231128216,-0.159259825945,-0.120440497994,-0.00534057850018,-0.00403882097453,5.10590648651,-0.000185434473678,-0.00893158279359,0.0716987401247,-1.59665141837e-05,-0.000136979739182,4.3073669076e-09,1,0.947663784027,0,1.0046800375,0,-0.000263224879745,2.58038162428e-05,-0.00900937430561,-9.52095142566e-05,-0.00874614901841,-0.000121013377793,1.00760495663,-0.00919480808079,-0.00011117599206,-2.98803206533e-06,1.95646357536,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.986023128033,0.0087890625,2.03016757965,0.0087890625,264.996887207,2.98023223877e-06,-1.02669000626e-05,8.14895873003e-10,-1.34330439323e-05,-1.34338570206e-05,-1.0259449482e-05,0.0087890625,6.44824123383,-0.000281441956758,-0.0235310010612,0.0444355010986,-3.30709372065e-05,0.000210083380807,-1.53901055455e-07,0,0.986421883106,-0.0555667690933,0.00229380419478,-0.0788163244724,0.00253695854917,-0.0232495609671,0.000243154237978,-0.0790977701545,0.00250388751738,-0.000581048021559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00005722046,0,264.997619629,-3.80724668503e-05,-7.06613063812e-05,-2.47035513894e-05,-5.72568969801e-05,-3.25533474097e-05,-9.53674316406e-05,0.414838075638,0,-0.000372832786525,-0.172102570534,-0.00185714173131,7.79991823947e-05,0,0.998046875,0.001953125,0,-0.899760425091,0,0.00342324585654,0.0019357977435,264.966666666,-0.000895283999853,-0.000677059928421,267.934234619,264.987884521,8.48718070984,1.80929923058,1.11618447304,0.124237798154
540,89.5000599348,1,0.352499991655,343.75,7.99997138977,1.14470324775e-07,1,3727.12451172,1,29.8908081055,8.71288776398,85.0250569381,0.000971617468167,0.000473868218251,-2.93794346362e-05,1.32231128216,-0.164188355207,-0.124167703092,-0.0062016332522,-0.00468999473378,4.92913579941,-0.000494803534821,-0.0157703086734,0.086548127234,-4.61484014522e-05,-0.000499341986142,3.37604433298e-09,1,0.903246045113,0,1.00596284866,0,-0.000428329396527,2.13199018617e-05,-0.0157038345933,-0.000431873835623,-0.015275507234,-0.000453193672001,1.00968980789,-0.0161986388266,-0.000478022382595,0.000208017532714,1.81263148785,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.891524374485,0.005859375,1.78212380409,0.005859375,264.996124268,2.92062759399e-06,-3.77595424652e-05,-1.4524613734e-09,-4.09128151659e-05,-4.09113636124e-05,-3.77297401428e-05,0.005859375,6.24486160278,-0.00104280794039,-0.0450483895838,0.0565677061677,-0.00010553431639,-0.000734150526114,-1.59838236868e-07,0,0.98238992691,-0.0640737041831,0.00296652968973,-0.10807929188,0.00233791326173,-0.044005587697,-0.00062861648621,-0.109122090042,0.00223237881437,-0.000627006345894,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00013589859,0,264.997131348,-4.27067279816e-05,-0.00013542175293,-4.31430526078e-05,-0.00013585734996,-9.27143119043e-05,-0.000178694725037,0.403677999973,0,-0.000438047689386,-0.162964835763,-0.00231371424161,9.93823705357e-05,0,1,0,0,-1.04870855808,0,0.00402486976236,0.00196134764701,264.962499999,-0.0010434910655,-0.000789141748101,267.933807373,264.986968994,8.70844078064,1.87134075165,1.56135821342,0.187602937222
